CT.POS,CAMERA.ID,ORIENT,GAIT,DIST,LOIT,TRIGGER,CAPTURE,WATER,AIR,ABS.DIFF
C,BS,L,W,3,0,1,1,8.18,4.69,3.49
C,BV,L,W,3,0,1,0,8.18,4.69,3.49
A,A,L,W,4,0,0,NA,8.18,4.69,3.49
A,BS,L,W,4,0,0,NA,8.18,4.69,3.49
A,BV,L,W,4,0,1,1,8.18,4.69,3.49
A,A,L,W,3,0,1,1,8.18,4.69,3.49
A,BS,L,W,3,0,1,1,8.18,4.69,3.49
A,BV,L,W,3,0,1,1,8.18,4.69,3.49
C,A,L,W,4,0,0,NA,8.18,4.69,3.49
C,BS,L,W,4,0,1,1,8.18,4.69,3.49
C,BV,L,W,4,0,1,1,8.18,4.69,3.49
C,A,L,W,4,0,1,0,10.36,10.02,0.34
C,BS,L,W,4,0,0,NA,10.36,10.02,0.34
C,BV,L,W,4,0,0,NA,10.36,10.02,0.34
C,A,L,W,5,0,0,NA,10.36,10.02,0.34
C,BS,L,W,5,0,0,NA,10.36,10.02,0.34
C,BV,L,W,5,0,0,NA,10.36,10.02,0.34
C,A,L,W,4,0,0,NA,10.36,8.99,1.37
C,BS,L,W,4,0,0,NA,10.36,8.99,1.37
C,BV,L,W,4,0,1,0,10.36,8.99,1.37
BL,A,L,W,1,0,1,0,10.36,8.99,1.37
BL,BS,L,W,1,0,1,1,10.36,8.99,1.37
BL,BV,L,W,1,0,1,0,10.36,8.99,1.37
A,A,L,T,3,1,1,0,10.36,8.99,1.37
A,BS,L,T,3,1,1,1,10.36,8.99,1.37
A,BV,L,T,3,1,1,0,10.36,8.99,1.37
C,A,L,T,3.5,1,1,0,10.36,8.99,1.37
C,BS,L,T,3.5,1,0,NA,10.36,8.99,1.37
C,BV,L,T,3.5,1,1,1,10.36,8.99,1.37
A,A,L,W,3,0,1,1,10.36,8.99,1.37
A,BS,L,W,3,0,0,NA,10.36,8.99,1.37
A,BV,L,W,3,0,1,1,10.36,8.99,1.37
C,A,L,W,4,0,0,NA,10.36,8.99,1.37
C,BS,L,W,4,0,1,1,10.36,8.99,1.37
C,BV,L,W,4,0,0,NA,10.36,8.99,1.37
A,A,L,T,3,1,1,1,10.36,8.99,1.37
A,BS,L,T,3,1,1,1,10.36,8.99,1.37
A,BV,L,T,3,1,1,0,10.36,8.99,1.37
C,A,L,T,3.5,0,1,0,10.36,8.99,1.37
C,BS,L,T,3.5,0,0,NA,10.36,8.99,1.37
C,BV,L,T,3.5,0,1,1,10.36,8.99,1.37
BL,A,L,W,1,0,1,1,9.57,3.49,6.08
BL,BS,L,W,1,0,1,1,9.57,3.49,6.08
BL,BV,L,W,1,0,1,1,9.57,3.49,6.08
C,A,L,W,8,0,0,NA,9.57,3.49,6.08
C,BS,L,W,8,0,0,NA,9.57,3.49,6.08
C,BV,L,W,8,0,0,NA,9.57,3.49,6.08
BL,A,L,W,1,0,1,1,9.57,4.96,4.61
BL,BS,L,W,1,0,1,1,9.57,4.96,4.61
BL,BV,L,W,1,0,1,0,9.57,4.96,4.61
BL,A,L,W,1,0,1,1,9.57,4.96,4.61
BL,BS,L,W,1,0,1,1,9.57,4.96,4.61
BL,BV,L,W,1,0,1,0,9.57,4.96,4.61
BL,A,L,W,1,0,1,1,9.77,4.96,4.81
BL,BS,L,W,1,0,1,1,9.77,4.96,4.81
BL,BV,L,W,1,0,1,1,9.77,4.96,4.81
A,A,L,T,6,0,1,0,9.77,4.96,4.81
A,BS,L,T,6,0,1,1,9.77,4.96,4.81
A,BV,L,T,6,0,0,NA,9.77,4.96,4.81
C,A,L,T,4,0,1,0,9.77,4.96,4.81
C,BS,L,T,4,0,0,NA,9.77,4.96,4.81
C,BV,L,T,4,0,0,NA,9.77,4.96,4.81
C,A,L,T,7.5,0,0,NA,9.87,8.94,0.93
C,BS,L,T,7.5,0,0,NA,9.87,8.94,0.93
C,BV,L,T,7.5,0,0,NA,9.87,8.94,0.93
C,A,L,W,7,0,0,NA,9.87,8.94,0.93
C,BS,L,W,7,0,0,NA,9.87,8.94,0.93
C,BV,L,W,7,0,0,NA,9.87,8.94,0.93
C,A,L,W,7,0,0,NA,9.87,8.94,0.93
C,BS,L,W,7,0,0,NA,9.87,8.94,0.93
C,BV,L,W,7,0,1,1,9.87,8.94,0.93
C,A,L,W,10,0,NA,NA,9.87,8.65,1.22
C,BS,L,W,10,0,NA,NA,9.87,8.65,1.22
C,BV,L,W,10,0,NA,NA,9.87,8.65,1.22
BL,A,L,W,1,1,0,NA,9.87,8.65,1.22
BL,BS,L,W,1,1,1,1,9.87,8.65,1.22
BL,BV,L,W,1,1,1,1,9.87,8.65,1.22
C,A,L,T,3.5,0,0,NA,9.87,8.65,1.22
C,BS,L,T,3.5,0,1,1,9.87,8.65,1.22
C,BV,L,T,3.5,0,1,0,9.87,8.65,1.22
A,A,L,T,4,0,1,1,9.87,8.65,1.22
A,BS,L,T,4,0,1,1,9.87,8.65,1.22
A,BV,L,T,4,0,1,1,9.87,8.65,1.22
BL,A,L,W,1,1,1,1,9.87,8.65,1.22
BL,BS,L,W,1,1,0,NA,9.87,8.65,1.22
BL,BV,L,W,1,1,1,1,9.87,8.65,1.22
BW,A,L,W,2,0,0,NA,9.87,8.65,1.22
BW,BS,L,W,2,0,1,1,9.87,8.65,1.22
BW,BV,L,W,2,0,1,0,9.87,8.65,1.22
C,A,L,T,2,0,1,NA,9.87,8.65,1.22
C,BS,L,T,2,0,1,0,9.87,8.65,1.22
C,BV,L,T,2,0,1,0,9.87,8.65,1.22
A,A,L,T,5,1,1,1,9.87,8.65,1.22
A,BS,L,T,5,1,1,1,9.87,8.65,1.22
A,BV,L,T,5,1,0,NA,9.87,8.65,1.22
C,A,L,T,8,0,0,NA,9.87,8.65,1.22
C,BS,L,T,8,0,0,NA,9.87,8.65,1.22
C,BV,L,T,8,0,0,NA,9.87,8.65,1.22
C,A,L,T,7,0,1,NA,9.87,8.65,1.22
C,BS,L,T,7,0,0,NA,9.87,8.65,1.22
C,BV,L,T,7,0,0,NA,9.87,8.65,1.22
BL,A,L,T,1,0,1,0,8.38,1.46,6.92
BL,BS,L,T,1,0,1,1,8.38,1.46,6.92
BL,BV,L,T,1,0,1,0,8.38,1.46,6.92
BL,A,L,W,1,0,1,0,8.38,1.46,6.92
BL,BS,L,W,1,0,1,1,8.38,1.46,6.92
BL,BV,L,W,1,0,1,0,8.38,1.46,6.92
BW,A,P,W,1,0,0,NA,8.38,1.46,6.92
BW,BS,P,W,1,0,0,NA,8.38,1.46,6.92
BW,BV,P,W,1,0,0,NA,8.38,1.46,6.92
C,A,L,R,8,0,0,NA,8.38,1.46,6.92
C,BS,L,R,8,0,0,NA,8.38,1.46,6.92
C,BV,L,R,8,0,1,0,8.38,1.46,6.92
C,A,L,R,8,0,0,NA,8.38,1.46,6.92
C,BS,L,R,8,0,0,NA,8.38,1.46,6.92
C,BV,L,R,8,0,0,NA,8.38,1.46,6.92
C,A,L,R,8,0,0,NA,8.38,1.46,6.92
C,BS,L,R,8,0,0,NA,8.38,1.46,6.92
C,BV,L,R,8,0,0,NA,8.38,1.46,6.92
BL,A,A,T,NA,1,0,NA,8.38,1.46,6.92
BL,BS,A,T,NA,1,1,1,8.38,1.46,6.92
BL,BV,A,T,NA,1,1,1,8.38,1.46,6.92
BW,A,P,T,1,1,0,NA,8.38,1.46,6.92
BW,BS,P,T,1,1,0,NA,8.38,1.46,6.92
BW,BV,P,T,1,1,0,NA,8.38,1.46,6.92
C,A,L,T,8,0,0,NA,8.38,1.46,6.92
C,BS,L,T,8,0,0,NA,8.38,1.46,6.92
C,BV,L,T,8,0,1,NA,8.38,1.46,6.92
BL,A,L,W,1,0,1,0,8.38,1.46,6.92
BL,BS,L,W,1,0,1,1,8.38,1.46,6.92
BL,BV,L,W,1,0,1,0,8.38,1.46,6.92
C,A,L,T,8,0,0,NA,8.38,1.46,6.92
C,BS,L,T,8,0,0,NA,8.38,1.46,6.92
C,BV,L,T,8,0,0,NA,8.38,1.46,6.92
C,A,L,T,1,0,0,NA,8.18,4.69,3.49
C,BS,L,T,1,0,0,NA,8.18,4.69,3.49
C,BV,L,T,1,0,0,NA,8.18,4.69,3.49
A,A,L,T,6,0,0,NA,8.18,4.69,3.49
A,BS,L,T,6,0,1,1,8.18,4.69,3.49
A,BV,L,T,6,0,0,NA,8.18,4.69,3.49
BW,A,A,W,2.5,1,1,0,8.18,4.69,3.49
BW,BS,A,W,2.5,1,1,1,8.18,4.69,3.49
BW,BV,A,W,2.5,1,1,0,8.18,4.69,3.49
A,A,L,W,4,0,1,1,8.18,4.69,3.49
A,BS,L,W,4,0,1,1,8.18,4.69,3.49
A,BV,L,W,4,0,1,1,8.18,4.69,3.49
C,A,L,W,3,0,0,NA,8.18,4.69,3.49
C,BS,L,W,3,0,1,1,8.18,4.69,3.49
C,BV,L,W,3,0,1,1,8.18,4.69,3.49
BL,A,L,W,1,0,0,NA,8.18,4.69,3.49
BL,BS,L,W,1,0,0,NA,8.18,4.69,3.49
BL,BV,L,W,1,0,1,0,8.18,4.69,3.49
A,A,L,R,3,0,1,0,8.18,4.69,3.49
A,BS,L,R,3,0,1,1,8.18,4.69,3.49
A,BV,L,R,3,0,1,0,8.18,4.69,3.49
BW,A,P,R,1,1,1,1,8.18,4.69,3.49
BW,BS,P,R,1,1,0,NA,8.18,4.69,3.49
BW,BV,P,R,1,1,0,NA,8.18,4.69,3.49
C,A,L,W,3,0,0,NA,8.18,4.69,3.49
C,BS,L,W,3,0,1,1,8.18,4.69,3.49
C,BV,L,W,3,0,1,0,8.18,4.69,3.49
A,A,L,W,4,0,0,NA,8.18,4.69,3.49
A,BS,L,W,4,0,1,1,8.18,4.69,3.49
A,BV,L,W,4,0,1,1,8.18,4.69,3.49
A,A,L,W,3,0,1,1,8.18,4.69,3.49
A,BS,L,W,3,0,1,1,8.18,4.69,3.49
A,BV,L,W,3,0,1,1,8.18,4.69,3.49
C,A,L,W,4,0,0,NA,8.18,4.69,3.49
C,BS,L,W,4,0,1,1,8.18,4.69,3.49
C,BV,L,W,4,0,1,1,8.18,4.69,3.49
C,A,L,W,2,0,1,0,8.28,4.69,3.59
C,BV,L,W,2,0,1,0,8.28,4.69,3.59
C,BS,L,W,2,0,0,NA,8.28,4.69,3.59
C,A,L,T,5,1,1,1,8.18,6.42,1.76
C,BV,L,T,5,1,0,NA,8.18,6.42,1.76
C,BS,L,T,5,1,0,NA,8.18,6.42,1.76
A,A,L,T,2,1,1,0,8.18,6.42,1.76
A,BS,L,T,2,1,1,1,8.18,6.42,1.76
A,BV,L,T,2,1,1,0,8.18,6.42,1.76
A,A,L,R,3,0,1,0,8.18,6.42,1.76
A,BS,L,R,3,0,1,1,8.18,6.42,1.76
A,BV,L,R,3,0,1,0,8.18,6.42,1.76
C,A,L,R,4,0,1,0,8.18,6.42,1.76
C,BV,L,R,4,0,0,NA,8.18,6.42,1.76
C,BS,L,R,4,0,0,NA,8.18,6.42,1.76
A,A,L,R,3,0,1,0,8.18,6.42,1.76
A,BS,L,R,3,0,1,1,8.18,6.42,1.76
A,BV,L,R,3,0,0,NA,8.18,6.42,1.76
C,A,L,R,4,0,0,NA,8.18,6.42,1.76
C,BV,L,R,4,0,0,NA,8.18,6.42,1.76
C,BS,L,R,4,0,0,NA,8.18,6.42,1.76
C,A,L,R,7.5,0,0,NA,8.18,6.42,1.76
C,BV,L,R,7.5,0,0,NA,8.18,6.42,1.76
C,BS,L,R,7.5,0,0,NA,8.18,6.42,1.76
A,A,L,R,1,0,1,0,8.18,6.42,1.76
A,BS,L,R,1,0,1,1,8.18,6.42,1.76
A,BV,L,R,1,0,1,0,8.18,6.42,1.76
C,A,L,W,7,0,0,NA,8.18,6.42,1.76
C,BV,L,W,7,0,0,NA,8.18,6.42,1.76
C,BS,L,W,7,0,0,NA,8.18,6.42,1.76
A,A,L,T,6,1,1,1,8.18,6.42,1.76
A,BS,L,T,6,0,1,1,8.18,6.42,1.76
A,BV,L,T,6,0,0,NA,8.18,6.42,1.76
C,A,L,T,1,0,1,0,8.18,6.42,1.76
C,BV,L,T,1,0,1,0,8.18,6.42,1.76
C,BS,L,T,1,0,1,1,8.18,6.42,1.76
BW,A,A,W,2.5,1,1,0,8.18,6.42,1.76
BW,BS,A,W,2.5,1,1,1,8.18,6.42,1.76
BW,BV,A,W,2.5,1,1,1,8.18,6.42,1.76
A,A,L,W,4,0,1,1,8.18,6.42,1.76
A,BS,L,W,4,0,1,1,8.18,6.42,1.76
A,BV,L,W,4,0,1,1,8.18,6.42,1.76
C,A,L,W,3,0,0,NA,8.18,6.42,1.76
C,BV,L,W,3,0,0,NA,8.18,6.42,1.76
C,BS,L,W,3,0,1,1,8.18,6.42,1.76
BL,A,L,W,1,0,1,1,8.18,6.58,1.6
BL,BS,L,W,1,0,1,1,8.18,6.58,1.6
BL,BV,L,W,1,0,1,0,8.18,6.58,1.6
C,A,L,W,8,0,0,NA,8.28,7.05,1.23
C,BV,L,W,8,0,0,NA,8.28,7.05,1.23
C,BS,L,W,8,0,0,NA,8.28,7.05,1.23
C,A,L,W,7,0,0,NA,8.28,7.05,1.23
C,BV,L,W,7,0,0,NA,8.28,7.05,1.23
C,BS,L,W,7,0,0,NA,8.28,7.05,1.23
C,A,L,T,7,0,1,0,8.28,6.69,1.59
C,BV,L,T,7,0,0,NA,8.28,6.69,1.59
C,BS,L,T,7,0,0,NA,8.28,6.69,1.59
A,A,L,T,3.5,1,1,1,8.28,6.69,1.59
A,BS,L,T,3.5,1,1,1,8.28,6.69,1.59
A,BV,L,T,3.5,1,1,0,8.28,6.69,1.59
C,A,L,T,3.5,0,0,NA,8.28,6.69,1.59
C,BV,L,T,3.5,0,1,1,8.28,6.69,1.59
C,BS,L,T,3.5,0,0,NA,8.28,6.69,1.59
A,A,L,W,3.5,0,1,0,8.18,6.31,1.87
A,BS,L,W,3.5,0,1,1,8.18,6.31,1.87
A,BV,L,W,3.5,0,1,0,8.18,6.31,1.87
C,A,L,W,3.5,0,1,1,8.18,6.31,1.87
C,BV,L,W,3.5,0,1,0,8.18,6.31,1.87
C,BS,L,W,3.5,0,1,1,8.18,6.31,1.87
A,A,L,W,8,1,0,NA,8.18,6.31,1.87
A,BS,L,W,8,1,0,NA,8.18,6.31,1.87
A,BV,L,W,8,1,0,NA,8.18,6.31,1.87
C,A,L,T,1,0,1,0,8.18,6.31,1.87
C,BV,L,T,1,0,1,0,8.18,6.31,1.87
C,BS,L,T,1,0,1,1,8.18,6.31,1.87
BL,A,L,W,1,1,1,1,7.48,3.53,3.95
BL,BS,L,W,1,1,1,1,7.48,3.53,3.95
BL,BV,L,W,1,1,1,1,7.48,3.53,3.95
A,A,L,W,3.5,1,1,1,7.48,3.53,3.95
A,BS,L,W,3.5,0,1,0,7.48,3.53,3.95
A,BV,L,W,3.5,0,1,0,7.48,3.53,3.95
C,A,L,W,3.5,0,0,NA,7.48,3.53,3.95
C,BV,L,W,3.5,0,1,0,7.48,3.53,3.95
C,A,L,T,10,0,0,NA,7.48,3.53,3.95
C,BV,L,T,10,0,0,NA,7.48,3.53,3.95
A,A,L,W,4,0,1,1,7.48,3.76,3.72
A,BS,L,W,4,0,1,1,7.48,3.76,3.72
A,BV,L,W,4,0,1,1,7.48,3.76,3.72
C,A,L,W,3,0,1,0,7.48,3.76,3.72
C,BV,L,W,3,0,1,1,7.48,3.76,3.72
BW,A,P,W,NA,0,1,1,7.48,3.76,3.72
BW,BS,P,W,NA,0,1,1,7.48,3.76,3.72
BW,BV,P,W,NA,0,1,1,7.48,3.76,3.72
A,A,L,T,4,0,1,0,7.48,3.76,3.72
A,BS,L,T,4,0,0,NA,7.48,3.76,3.72
C,A,L,T,3,0,1,0,7.48,3.76,3.72
C,BV,L,T,3,0,1,0,7.48,3.76,3.72
C,A,L,T,7,0,0,NA,7.48,3.76,3.72
C,BV,L,T,7,0,0,NA,7.48,3.76,3.72
C,A,L,T,7,1,0,NA,7.48,3.76,3.72
C,BV,L,T,7,1,0,NA,7.48,3.76,3.72
C,A,L,T,7,1,0,NA,7.48,4.25,3.23
C,BV,L,T,7,1,0,NA,7.48,4.25,3.23
C,A,L,W,8,0,0,NA,7.48,5.88,1.6
C,BV,L,W,8,0,0,NA,7.48,5.88,1.6
BL,A,L,W,1,0,1,1,7.48,5.88,1.6
BL,BS,L,W,1,0,1,1,7.48,5.88,1.6
BL,BV,L,W,1,0,0,NA,7.48,5.88,1.6
C,A,L,W,7,1,0,NA,7.48,5.88,1.6
C,BV,L,W,7,1,0,NA,7.48,5.88,1.6
BL,A,L,W,1,0,1,1,7.48,5.88,1.6
BL,BS,L,W,1,0,1,1,7.48,5.88,1.6
BL,BV,L,W,1,0,1,0,7.48,5.88,1.6
C,A,L,W,2,0,1,1,7.48,5.88,1.6
C,BV,L,W,2,0,1,0,7.48,5.88,1.6
C,A,L,W,7,0,0,NA,7.78,8.01,0.23
C,BV,L,W,7,0,0,NA,7.78,8.01,0.23
C,A,L,T,7,0,0,NA,7.78,8.01,0.23
C,BV,L,T,7,0,0,NA,7.78,8.01,0.23
BL,A,L,T,10,1,0,NA,7.48,5.88,1.6
BL,BS,L,T,10,1,0,NA,7.48,5.88,1.6
BL,BV,L,T,10,1,0,NA,7.48,5.88,1.6
BL,A,L,T,10,1,1,0,7.78,8.01,0.23
BL,BS,L,T,10,1,0,NA,7.78,8.01,0.23
BL,BV,L,T,10,1,0,NA,7.78,8.01,0.23
A,A,L,T,1,1,1,1,6.27,2.91,3.36
A,BS,L,T,1,1,1,1,6.27,2.91,3.36
A,BV,L,T,1,1,1,1,6.27,2.91,3.36
A,A,L,W,3,1,1,1,6.27,2.91,3.36
A,BS,L,W,3,1,1,1,6.27,2.91,3.36
A,BV,L,W,3,1,1,1,6.27,2.91,3.36
C,A,L,R,7,1,0,NA,6.27,2.91,3.36
C,BV,L,R,7,1,0,NA,6.27,2.91,3.36
BL,A,L,W,1,1,1,1,6.67,6.48,0.19
BL,BS,L,W,1,1,1,1,6.67,6.48,0.19
BL,BV,L,W,1,1,1,1,6.67,6.48,0.19
A,A,L,W,2,0,1,1,6.67,6.48,0.19
A,BS,L,W,2,0,0,NA,6.67,6.48,0.19
A,BV,L,W,2,0,1,1,6.67,6.48,0.19
C,A,L,W,5,0,0,NA,6.67,6.48,0.19
C,BV,L,W,5,0,0,NA,6.67,6.48,0.19
A,BS,L,W,3,0,1,1,10.94,7.13,3.81
A,BV,L,W,3,0,1,1,10.94,7.13,3.81
C,A,L,W,4,1,0,NA,10.94,7.13,3.81
C,BS,L,W,4,1,1,1,10.94,7.13,3.81
C,BV,L,W,4,1,1,1,10.94,7.13,3.81
C,A,L,W,1,0,1,1,10.94,8.23,2.71
C,BS,L,W,1,0,1,1,10.94,8.23,2.71
C,BV,L,W,1,0,1,1,10.94,8.23,2.71
A,A,L,W,6,0,0,NA,10.94,8.23,2.71
A,BS,L,W,6,0,1,1,10.94,8.23,2.71
A,BV,L,W,6,0,0,NA,10.94,8.23,2.71
BW,A,A,W,2.5,0,1,1,10.94,8.23,2.71
BW,BS,A,W,2.5,0,1,1,10.94,8.23,2.71
BW,BV,A,W,2.5,0,1,1,10.94,8.23,2.71
C,A,L,T,2,0,1,1,10.94,8.23,2.71
C,BS,L,T,2,0,1,1,10.94,8.23,2.71
C,BV,L,T,2,0,1,1,10.94,8.23,2.71
A,A,L,T,5,1,1,1,10.94,8.23,2.71
A,BS,L,T,5,1,1,1,10.94,8.23,2.71
A,BV,L,T,5,1,0,NA,10.94,8.23,2.71
BW,A,A,W,2.5,0,1,0,10.94,8.97,1.97
BW,BS,A,W,2.5,0,1,1,10.94,8.97,1.97
BW,BV,A,W,2.5,0,1,1,10.94,8.97,1.97
A,A,L,W,4,1,0,NA,10.94,8.97,1.97
A,BS,L,W,4,1,1,1,10.94,8.97,1.97
A,BV,L,W,4,1,0,NA,10.94,8.97,1.97
A,A,L,W,5,0,0,NA,10.94,8.97,1.97
A,BS,L,W,5,0,1,1,10.94,8.97,1.97
A,BV,L,W,5,0,0,NA,10.94,8.97,1.97
C,A,L,W,9,0,0,NA,10.94,8.97,1.97
C,BS,L,W,9,0,0,NA,10.94,8.97,1.97
C,BV,L,W,9,0,0,NA,10.94,8.97,1.97
BW,A,P,W,NA,0,1,1,10.94,8.97,1.97
BW,BS,P,W,NA,0,1,1,10.94,8.97,1.97
BW,BV,P,W,NA,0,1,1,10.94,8.97,1.97
BW,A,A,W,2.5,0,1,1,10.94,8.97,1.97
BW,BS,A,W,2.5,0,1,1,10.94,8.97,1.97
BW,BV,A,W,2.5,0,1,1,10.94,8.97,1.97
C,A,L,W,3,0,0,NA,10.94,8.97,1.97
C,BS,L,W,3,0,1,1,10.94,8.97,1.97
C,BV,L,W,3,0,1,1,10.94,8.97,1.97
A,A,L,W,4,0,0,NA,10.94,8.97,1.97
A,BS,L,W,4,0,1,1,10.94,8.97,1.97
A,BV,L,W,4,0,1,1,10.94,8.97,1.97
C,A,L,R,3,0,1,0,10.94,8.97,1.97
C,BS,L,R,3,0,1,1,10.94,8.97,1.97
C,BV,L,R,3,0,1,1,10.94,8.97,1.97
A,A,L,R,4,0,1,1,10.94,8.97,1.97
A,BS,L,R,4,0,1,1,10.94,8.97,1.97
A,BV,L,R,4,0,1,0,10.94,8.97,1.97
BW,A,A,R,2.5,0,1,1,10.94,8.97,1.97
BW,BS,A,R,2.5,0,1,1,10.94,8.97,1.97
BW,BV,A,R,2.5,0,1,1,10.94,8.97,1.97
A,A,L,R,2,0,0,NA,6.67,6.48,0.19
A,BS,L,R,2,0,1,1,6.67,6.48,0.19
A,BV,L,R,2,0,1,0,6.67,6.48,0.19
C,A,L,R,5,0,1,0,6.67,6.48,0.19
C,BV,L,R,5,0,0,NA,6.67,6.48,0.19
BL,A,L,W,1,0,1,0,5.76,0.91,4.85
BL,BS,L,W,1,0,1,1,5.76,0.91,4.85
BL,BV,L,W,1,0,1,0,5.76,0.91,4.85
BL,A,L,T,7,0,1,0,5.76,0.91,4.85
BL,BS,L,T,7,0,1,0,5.76,0.91,4.85
BL,BV,L,T,7,0,0,NA,5.76,0.91,4.85
A,A,L,T,1,0,1,1,5.76,0.91,4.85
A,BS,L,T,1,0,1,1,5.76,0.91,4.85
A,BV,L,T,1,0,1,1,5.76,0.91,4.85
C,A,L,T,6,0,1,0,5.76,0.91,4.85
C,BV,L,T,6,0,1,0,5.76,0.91,4.85
A,A,L,R,8,0,0,NA,5.76,0.91,4.85
A,BS,L,R,8,0,0,NA,5.76,0.91,4.85
A,BV,L,R,8,0,0,NA,5.76,0.91,4.85
BL,A,L,W,1,1,1,1,5.76,0.91,4.85
BL,BS,L,W,1,1,1,1,5.76,0.91,4.85
BL,BV,L,W,1,1,1,0,5.76,0.91,4.85
BL,A,L,W,1,0,1,1,5.76,0.91,4.85
BL,BS,L,W,1,0,1,1,5.76,0.91,4.85
BL,BV,L,W,1,0,1,1,5.76,0.91,4.85
A,A,L,T,7,0,0,NA,5.76,0.88,4.88
A,BV,L,T,7,0,0,NA,5.76,0.88,4.88
C,A,L,T,1,0,1,0,5.76,0.88,4.88
C,BV,L,T,1,0,1,0,5.76,0.88,4.88
BL,A,L,T,6,0,0,NA,5.76,0.88,4.88
BL,BS,L,T,6,0,0,NA,5.76,0.88,4.88
BL,BV,L,T,6,0,0,NA,5.76,0.88,4.88
BL,A,L,T,10,1,0,NA,5.76,0.88,4.88
BL,BS,L,T,10,1,0,NA,5.76,0.88,4.88
BL,BV,L,T,10,1,0,NA,5.76,0.88,4.88
BL,A,L,W,1,0,1,1,5.86,0.86,5
BL,BS,L,W,1,0,1,1,5.86,0.86,5
BL,BV,L,W,1,0,1,1,5.86,0.86,5
BL,A,L,W,1,0,1,1,5.96,0.86,5.1
BL,BS,L,W,1,0,1,1,5.96,0.86,5.1
BL,BV,L,W,1,0,1,1,5.96,0.86,5.1
BL,A,L,T,1,0,0,NA,5.96,0.86,5.1
BL,BS,L,T,1,0,1,1,5.96,0.86,5.1
BL,BV,L,T,1,0,0,NA,5.96,0.86,5.1
BL,A,L,T,1,0,1,0,5.96,0.86,5.1
BL,BS,L,T,1,0,1,1,5.96,0.86,5.1
BL,BV,L,T,1,0,1,0,5.96,0.86,5.1
BL,A,L,W,1,0,1,0,5.45,3.54,1.91
BL,BS,L,W,1,0,1,1,5.45,3.54,1.91
BL,BV,L,W,1,0,1,0,5.45,3.54,1.91
BL,A,L,W,1,0,1,0,5.66,7.29,1.63
BL,BS,L,W,1,0,1,1,5.66,7.29,1.63
BL,BV,L,W,1,0,1,1,5.66,7.29,1.63
BW,A,P,T,NA,0,1,1,5.86,8.41,2.55
BW,BS,P,T,NA,0,1,1,5.86,8.41,2.55
BW,BV,P,T,NA,0,1,1,5.86,8.41,2.55
C,A,L,W,8,0,0,NA,5.86,0.86,5
C,BV,L,W,8,0,0,NA,5.86,0.86,5
A,A,L,W,2,0,1,1,6.27,6.57,0.3
A,BS,L,W,2,0,1,1,6.27,6.57,0.3
C,A,L,W,5,0,1,1,6.27,6.57,0.3
C,BV,L,W,5,0,1,1,6.27,6.57,0.3
C,A,L,W,7,0,0,NA,6.27,6.57,0.3
C,BV,L,W,7,0,0,NA,6.27,6.57,0.3
BL,A,L,W,1,0,1,0,7.08,9.42,2.34
BL,BS,L,W,1,0,1,1,7.08,9.42,2.34
BL,BV,L,W,1,0,1,0,7.08,9.42,2.34
C,A,L,T,4,0,1,1,7.08,9.42,2.34
C,BV,L,T,4,0,NA,NA,7.08,9.42,2.34
BL,A,L,W,1,1,1,1,6.27,6.57,0.3
BL,BS,L,W,1,1,0,NA,6.27,6.57,0.3
BL,BV,L,W,1,1,0,NA,6.27,6.57,0.3
C,A,L,W,10,1,0,NA,6.27,6.57,0.3
A,A,L,R,6,0,0,NA,6.98,10.25,3.27
A,BS,L,R,6,0,1,1,6.98,10.25,3.27
A,BV,L,R,6,0,0,NA,6.98,10.25,3.27
C,A,L,R,1,0,1,0,6.98,10.25,3.27
C,BV,L,R,1,0,1,0,6.98,10.25,3.27
BL,A,L,W,1,0,1,0,7.18,5.33,1.85
BL,BS,L,W,1,0,1,1,7.18,5.33,1.85
BL,BV,L,W,1,0,1,1,7.18,5.33,1.85
BL,A,L,W,1,0,1,1,7.28,7.87,0.59
BL,BS,L,W,1,0,1,1,7.28,7.87,0.59
BL,BV,L,W,1,0,1,1,7.28,7.87,0.59
