SPECIES,CT.POS,ORIENT,GAIT,DIST,LOIT,TRIGGER,AIR
FOX,SNIG,P,W,1,1,0,10.55
FOX,SNIG,L,W,5,0,0,10.55
FOX,SNIG,L,W,1,0,1,10.55
FOX,SNIG,L,W,5,0,0,9.97
BADGER,SNIG,A,R,1,0,0,5.14
BADGER,SNIG,A,R,1,0,0,5.14
FOX,SNIG,P,W,1,0,0,5.14
FOX,SNIG,A,W,1,0,0,6.17
BADGER,SNIG,L,W,3,0,0,5.86
BADGER,SNIG,P,T,3,0,0,5.86
BADGER,SNIG,A,W,1,1,0,5.45
BADGER,SNIG,A,W,1,0,1,5.45
BADGER,SNIG,A,W,1,0,0,5.45
FOX,SNIG,P,W,3,0,1,3.16
BADGER,SNIG,L,W,3,0,0,2.62
BADGER,SNIG,P,T,2,0,1,5.45
FOX,SNIG,P,W,2,0,0,10.55
FOX,AP,L,W,1,0,1,9.28
FOX,AP,A,W,1,1,0,9.97
BADGER,AP,L,R,1,0,0,5.14
BADGER,AP,L,R,1,0,0,5.14
FOX,AP,L,W,1,0,1,5.14
FOX,AP,L,W,1,0,1,6.17
BADGER,AP,L,T,2,0,0,5.86
BADGER,AP,L,W,2,0,1,5.45
BADGER,AP,L,T,2,0,1,5.45
FOX,AP,L,W,1,0,1,7.48
FOX,SF,L,W,1,0,1,10.55
FOX,SF,P,W,5,0,1,5.14
FOX,FF,L,W,2,0,1,9.97
FOX,SF,L,W,2,0,0,9.97
FOX,FF,L,W,3,1,1,9.97
FOX,FF,L,W,3,0,1,9.97
FOX,SF,L,W,1,0,0,9.97
BADGER,FF,L,R,5,0,0,5.14
BADGER,SF,L,R,5,0,0,5.14
BADGER,FF,L,R,5,0,0,5.14
BADGER,SF,L,R,5,0,0,5.14
FOX,FF,L,W,1,0,0,5.14
FOX,SF,L,W,5,0,0,5.14
BADGER,FF,A,W,1,0,1,5.86
BADGER,SF,L,W,6,0,0,5.86
BADGER,FF,L,T,3,0,0,5.45
BADGER,SF,L,T,6,0,0,5.45
BADGER,SNIG,P,T,1,0,1,5.45
BADGER,AP,L,T,1,0,1,5.45
BADGER,AP,L,W,1,0,1,5.45
BADGER,FF,L,W,3,0,1,5.45
BADGER,SF,L,W,6,0,0,5.45
FOX,AP,L,W,6,0,0,5.86
FOX,SF,L,W,1,0,0,5.86
FOX,FF,L,W,1,0,1,5.86
FOX,SNIG,P,W,4,0,1,3.16
FOX,SF,L,W,5,0,0,3.16
FOX,FF,L,W,2,0,1,3.16
FOX,AP,L,W,1,0,1,3.16
BADGER,SNIG,A,W,1,0,0,2.62
BADGER,FF,L,W,3,0,1,2.62
BADGER,SF,L,W,6,0,0,2.62
FOX,SNIG,A,W,1,0,0,2.09
FOX,AP,L,W,1,0,0,2.09
FOX,FF,L,W,3,0,1,2.09
FOX,SF,L,W,6,0,0,2.09
FOX,AP,L,W,1,0,0,2.09
FOX,SNIG,A,W,1,0,0,2.09
FOX,FF,L,W,3,0,1,2.09
FOX,SF,L,W,6,0,1,2.09
FOX,FF,A,W,1,0,0,2.09
FOX,SF,L,W,5,0,0,2.09
BADGER,FF,L,R,1,0,1,2.09
BADGER,SF,L,R,1,0,0,2.09
BADGER,SNIG,P,W,2,0,1,2.3
BADGER,AP,L,W,2,0,1,2.3
BADGER,SF,L,W,6,0,0,2.3
BADGER,FF,L,W,3,0,1,2.3
BADGER,SNIG,P,W,1,0,1,2.09
BADGER,AP,L,W,1,0,1,2.09
BADGER,SF,L,W,6,0,0,2.09
BADGER,FF,L,W,1,0,1,2.09
BADGER,AP,L,W,1,0,1,2.09
BADGER,SNIG,P,W,3,0,1,2.09
BADGER,FF,L,W,2,0,1,2.09
FOX,SNIG,A,W,1,0,1,2.41
FOX,AP,L,W,1,0,1,2.41
FOX,FF,L,W,3,0,1,2.41
FOX,SF,L,W,6,0,0,2.41
FOX,AP,L,W,1,0,1,2.41
FOX,FF,L,W,3,0,0,2.41
FOX,SF,L,W,5,0,1,2.41
FOX,AP,L,R,1,0,1,1.87
FOX,SNIG,A,R,1,0,1,1.87
FOX,SF,L,R,5,0,0,1.87
FOX,FF,L,R,3,0,1,1.87
FOX,AP,L,R,1,0,1,1.87
FOX,SF,L,R,5,0,0,1.87
FOX,FF,L,R,1,0,1,1.87
FOX,SNIG,L,W,2,0,0,1.44
FOX,SF,A,W,1,0,0,1.44
FOX,FF,L,W,1,0,0,1.44
FOX,FF,L,W,3,0,1,1.44
FOX,SF,L,W,5,0,0,1.44
FOX,SNIG,A,W,1,0,0,1.44
FOX,AP,L,W,1,0,1,1.44
BADGER,SNIG,P,R,1,0,1,1.44
BADGER,AP,L,R,1,0,0,1.44
BADGER,SF,L,W,5,0,0,1.44
BADGER,FF,L,W,3,0,1,1.44
FOX,AP,L,W,3,0,0,4.93
FOX,SF,L,W,3,0,1,4.93
FOX,AP,L,W,3,0,0,4.93
FOX,FF,L,W,3,0,0,4.93
FOX,FF,L,W,3,0,1,4.42
FOX,SF,L,W,5,0,0,4.42
FOX,AP,L,W,1,0,1,4.42
FOX,SNIG,A,W,1,0,1,4.42
BADGER,FF,L,W,3,0,0,4.1
BADGER,SF,L,W,6,0,0,4.1
BADGER,SNIG,L,W,3,0,0,4.1
BADGER,SF,A,W,1,0,0,4.1
BADGER,FF,L,W,3,0,1,4.1
BADGER,SF,L,T,6,0,0,6.57
BADGER,FF,L,T,3,0,1,6.57
BADGER,SNIG,A,T,1,0,0,6.57
BADGER,SF,L,T,6,0,0,6.57
BADGER,FF,L,T,3,0,0,6.57
BADGER,SNIG,A,T,1,0,0,6.57
BADGER,SNIG,P,T,1,0,1,7.38
BADGER,AP,L,T,1,0,1,7.38
BADGER,SF,L,T,5,0,0,7.38
BADGER,FF,L,T,3,0,1,7.38
BADGER,SNIG,A,T,1,0,1,7.38
BADGER,AP,L,T,1,0,1,7.38
BADGER,FF,L,T,3,0,1,7.38
BADGER,SF,L,T,6,0,0,7.38
FOX,FF,L,W,3,0,1,9.08
FOX,SF,L,W,4,0,0,9.08
FOX,AP,L,W,2,0,0,9.08
FOX,SNIG,A,W,1,0,0,9.08
FOX,FF,L,W,3,1,1,8.48
FOX,SF,L,W,5,0,0,8.48
FOX,SNIG,A,W,1,1,0,8.48
FOX,AP,L,W,1,0,0,8.48
FOX,FF,L,W,4,0,1,8.48
FOX,SF,L,W,2,0,0,8.48
FOX,AP,L,W,1,0,0,8.48
FOX,SNIG,A,W,1,0,0,8.48
BADGER,SNIG,A,W,1,0,1,6.57
BADGER,FF,L,W,3,0,1,6.57
BADGER,SF,L,W,5,0,0,6.57
BADGER,AP,L,W,1,0,1,6.57
FOX,FF,L,W,3,0,1,6.57
FOX,SF,L,W,5,0,0,6.57
FOX,AP,L,W,1,0,1,6.57
FOX,SNIG,A,W,1,0,1,6.57
BADGER,FF,L,W,3,0,1,6.57
BADGER,SF,L,W,5,0,0,6.57
BADGER,AP,L,W,1,0,1,6.57
BADGER,SNIG,A,W,1,0,1,6.57
FOX,FF,L,T,3,0,1,5.24
FOX,SF,L,T,5,0,0,5.24
FOX,AP,L,T,1,0,1,5.24
FOX,SNIG,A,T,1,0,1,5.24
FOX,FF,L,W,3,0,1,5.24
FOX,SF,L,W,5,0,0,5.24
FOX,AP,L,W,1,0,1,5.24
FOX,SNIG,A,W,1,0,1,5.24
FOX,SF,L,W,1,0,1,5.45
FOX,FF,L,W,3,0,1,5.45
FOX,AP,L,W,4,0,0,5.45
FOX,SNIG,P,W,1,0,0,5.45
FOX,AP,L,W,2,0,0,5.45
FOX,SF,L,W,5,0,0,5.45
FOX,FF,A,W,1,0,1,5.45
FOX,FF,L,W,1,0,1,5.45
FOX,SF,L,W,1,0,1,5.45
FOX,AP,L,W,5,0,0,5.45
FOX,SF,L,W,5,0,0,5.45
FOX,FF,L,W,3,0,1,5.45
FOX,AP,L,W,1,0,0,5.45
FOX,SNIG,P,W,1,0,0,5.45
FOX,AP,L,W,1,0,1,5.45
FOX,SNIG,A,W,1,0,1,5.45
FOX,SNIG,L,W,1,0,1,5.45
FOX,AP,L,W,1,0,1,5.45
FOX,FF,L,W,3,0,1,5.35
FOX,SF,L,W,5,0,1,5.35
FOX,AP,L,W,1,0,0,5.35
FOX,SNIG,A,W,1,0,0,5.35
FOX,FF,L,W,3,0,1,5.45
FOX,SF,L,W,5,0,0,5.45
FOX,AP,L,W,1,0,1,5.45
FOX,SNIG,A,W,1,0,1,5.45
FOX,FF,L,W,3,1,0,6.98
FOX,SF,L,W,5,0,0,6.98
FOX,AP,L,W,1,0,0,6.98
FOX,SNIG,A,W,1,0,0,6.98
BADGER,FF,L,T,3,0,1,4.21
BADGER,SF,L,T,5,0,1,4.21
BADGER,AP,L,T,1,0,0,4.21
BADGER,SNIG,A,T,1,0,0,4.21
FOX,SNIG,P,W,1,0,0,3.58
FOX,AP,L,W,1,0,0,3.58
FOX,SF,L,W,5,0,0,3.58
FOX,FF,L,T,3,0,0,3.58
FOX,AP,L,T,3,0,0,3.58
FOX,SNIG,A,T,1,0,0,3.58
FOX,SF,L,T,3,0,0,3.58
BADGER,FF,L,T,3,0,1,2.94
BADGER,SF,L,T,5,0,0,2.94
BADGER,AP,L,T,1,0,1,2.94
BADGER,SNIG,A,T,1,0,1,2.94
BADGER,SF,A,T,1,0,0,2.94
BADGER,SNIG,P,W,3,0,0,2.94
BADGER,FF,L,W,3,0,1,2.94
BADGER,AP,L,W,1,1,1,2.73
BADGER,SNIG,P,W,1,1,1,2.73
BADGER,SF,L,W,5,1,0,2.73
BADGER,FF,L,W,3,1,1,2.73
BADGER,FF,L,T,3,0,1,2.52
BADGER,SF,L,T,3,0,0,2.52
BADGER,SNIG,A,T,1,0,1,2.52
BADGER,AP,L,T,1,0,1,2.52
FOX,FF,L,T,3,0,1,2.2
FOX,SF,L,T,5,0,1,2.2
FOX,AP,L,T,1,0,0,2.2
FOX,SNIG,A,T,1,0,0,2.2
BADGER,SNIG,P,T,1,0,1,2.2
BADGER,AP,L,T,1,0,0,2.2
BADGER,SF,L,T,5,0,0,2.2
BADGER,FF,L,T,3,0,1,2.2
BADGER,FF,L,T,3,0,1,2.2
BADGER,SF,L,T,5,0,0,2.2
BADGER,AP,L,T,1,0,1,2.2
BADGER,SNIG,A,T,1,0,1,2.2
BADGER,AP,L,W,5,0,0,2.2
BADGER,SF,L,W,1,0,0,2.2
BADGER,FF,L,W,2,0,1,2.2
FOX,SF,A,W,1,0,0,1.33
FOX,FF,L,W,3,0,0,1.33
BADGER,FF,L,T,3,1,1,1
BADGER,SF,L,T,5,0,0,1
BADGER,AP,L,W,1,0,1,1
BADGER,SNIG,A,T,1,0,1,1
FOX,SNIG,P,T,1,0,1,0.89
FOX,AP,L,T,1,0,1,0.89
FOX,SF,L,W,5,0,0,0.89
FOX,FF,L,W,4,0,1,0.89
FOX,FF,L,W,3,0,1,5.04
FOX,SF,L,W,4,0,1,5.04
FOX,AP,L,W,2,0,0,5.04
FOX,SNIG,A,W,1,0,0,5.04
FOX,FF,L,W,5,0,1,3.58
FOX,SF,L,W,4,0,1,3.58
FOX,AP,L,W,2,0,0,3.58
FOX,SNIG,A,W,1,0,0,3.58
BADGER,SNIG,P,T,1,0,1,3.58
BADGER,AP,L,T,1,0,1,3.58
BADGER,SF,L,T,5,0,0,3.58
BADGER,FF,L,T,3,0,1,3.58
BADGER,SNIG,P,T,1,0,0,2.41
BADGER,AP,L,T,1,0,1,2.41
BADGER,SF,L,T,5,0,1,2.41
BADGER,FF,L,T,3,0,1,2.41
BADGER,FF,L,T,3,1,1,1.87
BADGER,SF,L,W,5,1,0,1.87
BADGER,AP,L,W,1,1,1,1.87
BADGER,SNIG,A,W,1,1,1,1.87
FOX,FF,L,T,3,0,0,0.89
FOX,SF,L,T,5,0,0,0.89
BADGER,FF,L,W,3,0,1,0.89
BADGER,SF,L,W,5,0,0,0.89
BADGER,AP,L,W,2,0,1,0.89
BADGER,SNIG,A,W,1,0,1,0.89
FOX,FF,L,T,3,0,1,1.11
FOX,SF,L,T,5,0,0,1.11
FOX,AP,L,T,1,0,1,1.11
FOX,SNIG,A,T,1,0,1,1.11
FOX,FF,L,W,3,0,1,1.11
FOX,SF,L,T,7,0,0,1.11
FOX,AP,L,T,1,0,0,1.11
FOX,SNIG,A,T,1,0,0,1.11
FOX,FF,L,T,3,0,1,4.73
FOX,SF,L,T,7,0,0,4.73
FOX,AP,L,T,1,0,0,4.73
FOX,SNIG,A,T,1,0,1,4.73
FOX,SNIG,P,W,1,0,1,4.73
FOX,AP,L,W,1,0,0,4.73
FOX,SF,L,W,7,0,0,4.73
FOX,FF,L,W,3,0,1,4.73
BADGER,SNIG,P,W,1,0,1,3.58
BADGER,AP,L,W,1,0,1,3.58
BADGER,SF,L,W,7,1,0,3.58
BADGER,FF,L,T,3,0,1,3.58
BADGER,SNIG,P,R,1,0,1,3.16
BADGER,AP,L,R,1,0,1,3.16
BADGER,SF,L,R,7,0,0,3.16
BADGER,FF,L,R,3,0,0,3.16
BADGER,SF,L,R,7,0,0,3.16
BADGER,FF,L,R,3,0,1,3.16
BADGER,AP,L,R,1,0,0,3.16
BADGER,SNIG,A,R,1,0,1,3.16
BADGER,SNIG,P,W,1,0,1,3.16
BADGER,AP,L,W,1,0,1,3.16
BADGER,SF,L,W,7,0,1,3.16
BADGER,FF,L,W,3,0,1,3.16
BADGER,FF,L,W,1,0,1,3.16
BADGER,SF,L,W,1,0,1,3.16
BADGER,AP,L,W,7,0,0,3.16
FOX,SNIG,A,R,1,0,0,1.33
FOX,AP,L,R,1,0,0,1.33
FOX,SF,L,R,7,0,0,1.33
FOX,FF,L,R,3,0,0,1.33
FOX,FF,L,W,3,0,1,1.33
FOX,SF,L,W,6,0,0,1.33
FOX,AP,L,W,1,0,0,1.33
FOX,SNIG,A,W,1,0,0,1.33
FOX,SNIG,L,W,2,0,0,5.04
FOX,AP,L,W,1,0,0,5.04
FOX,SF,L,W,6,0,1,5.04
FOX,FF,L,W,6,0,0,5.04
FOX,SF,L,W,5,0,0,5.04
FOX,FF,L,W,2,0,1,5.04
FOX,AP,A,W,1,0,0,5.04
FOX,SNIG,L,W,4,0,1,5.04
FOX,SF,L,W,7,0,1,3.68
FOX,SNIG,A,W,1,0,0,3.68
FOX,AP,L,W,1,0,0,3.68
FOX,FF,L,W,3,0,1,3.68
BADGER,SNIG,P,W,1,0,1,3.68
BADGER,AP,L,W,1,0,1,3.68
BADGER,SF,L,W,7,1,0,3.68
BADGER,FF,L,W,3,1,1,3.68
FOX,FF,L,W,3,1,0,3.89
FOX,FF,L,W,3,0,0,3.89
FOX,FF,A,W,1,0,0,4
FOX,SF,L,W,6,0,0,4
FOX,AP,L,W,1,0,0,4
FOX,SNIG,A,W,1,0,0,4
FOX,FF,A,W,1,1,0,4
FOX,SF,L,W,6,1,0,4
FOX,AP,L,W,1,0,0,4
FOX,SNIG,A,W,1,0,0,4
FOX,FF,A,W,1,0,1,5.04
FOX,SF,L,W,6,0,1,5.04
FOX,AP,L,W,2,0,0,5.04
FOX,SNIG,A,W,1,0,0,5.04
BADGER,FF,L,T,3,0,0,4.83
BADGER,SF,L,T,7,0,0,4.83
BADGER,SNIG,A,T,1,0,0,4.83
FOX,FF,L,W,3,1,0,5.35
FOX,AP,L,T,1,0,1,5.35
FOX,SF,L,T,7,0,0,5.35
FOX,SNIG,A,T,1,1,1,5.35
FOX,SF,L,T,7,0,0,5.35
FOX,FF,A,W,1,0,1,5.35
FOX,AP,L,T,3,0,0,5.35
FOX,SNIG,A,T,1,0,0,5.35
FOX,SF,L,T,4,0,0,5.35
FOX,SF,L,W,6,0,0,3.47
FOX,AP,L,W,2,0,0,3.47
FOX,SNIG,P,W,1,0,0,3.47
FOX,FF,L,W,3,0,1,3.47
BADGER,FF,L,W,3,0,1,4.1
BADGER,AP,A,W,1,0,0,4.1
BADGER,SF,L,W,7,0,0,4.1
FOX,FF,L,W,3,0,1,4.52
FOX,SF,L,W,5,1,1,4.52
FOX,AP,L,W,4,0,0,4.52
FOX,SF,L,W,4,1,1,4.52
FOX,AP,L,W,3,1,0,4.52
FOX,SNIG,P,W,4,0,0,4.52
FOX,FF,L,W,3,0,1,4.52
BADGER,FF,L,W,3,0,0,4.31
FOX,SNIG,L,W,1,0,1,4.83
FOX,AP,L,T,1,0,1,4.83
FOX,FF,L,T,5,0,0,4.83
BADGER,FF,L,W,3,0,0,7.28
BADGER,AP,L,W,1,1,0,7.28
BADGER,SNIG,A,T,1,1,0,7.28
BADGER,FF,L,T,3,0,0,7.28
BADGER,SNIG,P,T,1,0,1,5.55
BADGER,AP,L,T,1,0,1,5.55
BADGER,SF,L,T,7,0,0,5.55
BADGER,FF,L,W,3,1,1,5.55
BADGER,FF,L,W,3,0,1,5.55
BADGER,AP,L,T,1,0,1,5.55
BADGER,SF,L,T,7,0,0,5.55
BADGER,SNIG,A,T,1,0,1,5.55
FOX,FF,L,W,4,1,1,5.55
FOX,FF,L,T,3,0,1,5.55
FOX,SF,L,T,5,0,0,5.55
FOX,AP,L,T,2,0,0,5.55
FOX,SNIG,A,T,1,0,0,5.55
BADGER,FF,L,W,3,1,1,3.89
BADGER,AP,L,W,1,1,1,3.89
BADGER,SNIG,A,W,1,0,0,3.89
BADGER,SF,L,W,7,0,0,3.89
BADGER,SNIG,P,R,1,0,0,3.89
BADGER,AP,L,R,1,0,0,3.89
BADGER,SF,L,R,7,0,0,3.89
BADGER,FF,L,R,4,0,1,3.89
BADGER,FF,L,T,3,0,0,3.47
BADGER,SF,L,W,2,0,1,3.47
BADGER,AP,L,W,6,0,0,3.47
FOX,SNIG,P,W,1,0,1,3.47
FOX,AP,L,W,1,0,1,3.47
FOX,SF,L,W,7,0,0,3.47
FOX,FF,L,W,3,0,1,3.47
FOX,SNIG,P,W,1,0,0,3.47
FOX,AP,L,W,2,0,0,3.47
FOX,SF,L,W,7,0,0,3.47
FOX,FF,L,W,3,0,1,3.47
FOX,FF,L,W,5,0,1,3.47
FOX,AP,L,T,1,0,0,3.47
FOX,SNIG,A,T,1,0,0,3.47
FOX,SF,L,T,7,0,0,3.47
FOX,SF,L,W,9,0,0,3.47
FOX,FF,L,W,3,0,0,3.47
FOX,SNIG,L,W,1,0,0,6.37
FOX,AP,L,W,3,0,0,6.37
FOX,SF,A,W,1,0,0,6.37
FOX,AP,L,T,1,0,0,6.37
FOX,SNIG,A,T,1,0,0,6.37
FOX,SF,L,T,7,0,1,6.37
BADGER,AP,L,T,1,1,1,6.06
BADGER,SNIG,P,T,1,1,1,6.06
BADGER,SF,L,T,7,1,0,6.06
BADGER,FF,L,W,3,1,1,6.06
BADGER,FF,L,T,3,0,1,6.06
BADGER,SF,L,T,7,0,0,6.06
BADGER,AP,L,T,1,0,1,6.06
BADGER,SNIG,A,T,1,0,1,6.06
FOX,SF,L,W,1,1,1,6.78
FOX,AP,L,W,7,1,0,6.78
FOX,FF,L,W,1,0,1,6.78
