CT.POS,CAMERA.ID,ORIENT,GAIT,DIST,FROM.HOLT,LOIT,TRIGGER,AIR
BW,A,P,W,1,0,0,1,12.48
BW,BS,P,W,1,0,0,1,12.48
BW,BV,P,W,1,0,0,1,12.48
C,A,L,W,3,0,0,1,12.48
C,BV,L,W,3,0,0,1,12.48
C,BS,L,W,3,0,0,1,12.48
BL,A,L,W,2,0,0,1,12.48
BL,BV,L,W,2,0,0,1,12.48
BL,BS,L,W,2,0,0,1,12.48
A,A,L,W,7,0,1,0,12.48
A,BV,L,W,7,0,1,0,12.48
A,BS,L,W,7,0,1,1,12.48
BL,A,L,W,1,0,1,1,12.48
BL,BS,L,W,1,0,1,1,12.48
BL,BV,L,W,1,0,1,1,12.48
C,A,L,W,3,0,0,0,12.48
C,BS,L,W,3,0,0,1,12.48
C,BV,L,W,3,0,0,1,12.48
BW,A,P,W,1,0,1,1,12.48
BW,BS,P,W,1,0,1,1,12.48
BW,BV,P,W,1,0,1,1,12.48
C,A,L,W,7,0,0,0,12.64
C,BS,L,W,7,0,0,0,12.64
C,BV,L,W,7,0,0,0,12.64
BL,A,L,W,10,0,1,0,12.64
BL,BS,L,W,10,0,1,0,12.64
BL,BV,L,W,10,0,1,0,12.64
BL,A,L,W,10,0,0,0,12.64
BL,BS,L,W,10,0,0,0,12.64
BL,BV,L,W,10,0,0,0,12.64
A,A,A,W,3,0,0,0,12.64
A,BS,A,W,3,0,0,0,12.64
A,BV,A,W,3,0,0,0,12.64
C,A,L,W,5,0,0,0,12.64
C,BS,L,W,5,0,0,0,12.64
C,BV,L,W,5,0,0,0,12.64
BW,A,L,W,2.5,0,0,0,12.64
BW,BS,L,W,2.5,0,1,1,12.64
BW,BV,L,W,2.5,0,1,1,12.64
A,A,L,W,1,0,0,1,12.64
A,BS,L,W,1,0,0,0,12.64
A,BV,L,W,1,0,0,1,12.64
C,A,L,W,7,0,0,0,12.64
C,BS,L,W,7,0,0,0,12.64
C,BV,L,W,7,0,0,0,12.64
A,A,L,W,1,0,0,1,12.64
A,BS,L,W,1,0,1,0,12.64
A,BV,L,W,1,0,1,1,12.64
A,A,L,W,2.5,0,1,1,12.64
A,BS,L,W,2.5,0,1,1,12.64
A,BV,L,W,2.5,0,1,1,12.64
C,A,L,W,4.5,0,1,0,12.64
C,BS,L,W,4.5,0,1,0,12.64
C,BV,L,W,4.5,0,1,1,12.64
A,A,L,T,3,0,0,1,12.28
A,BS,L,T,3,0,0,1,12.28
A,BV,L,T,3,0,0,1,12.28
C,A,L,T,4,0,0,0,12.28
C,BS,L,T,4,0,0,0,12.28
C,BV,L,T,4,0,0,0,12.28
C,A,L,W,7,0,0,0,12.28
C,BS,L,W,7,0,0,0,12.28
C,BV,L,W,7,0,0,0,12.28
C,A,L,W,7,0,0,0,12.28
C,BS,L,W,7,0,0,0,12.28
C,BV,L,W,7,0,0,0,12.28
BL,A,L,W,10,0,0,0,12.28
BL,BS,L,W,10,0,0,0,12.28
BL,BV,L,W,10,0,0,0,12.28
BL,A,L,R,10,0,0,0,11.3
BL,BS,L,R,10,0,0,0,11.3
BL,BV,L,R,10,0,0,0,11.3
A,A,L,W,2,0,0,1,11.3
A,BS,L,W,2,0,0,1,11.3
A,BV,L,W,2,0,0,1,11.3
BL,A,L,W,1,0,0,1,11.3
BL,BS,L,W,1,0,0,1,11.3
BL,BV,L,W,1,0,0,1,11.3
C,A,A,W,NA,0,1,1,11.3
C,BS,A,W,NA,0,1,1,11.3
C,BV,A,W,NA,0,1,1,11.3
BL,A,L,W,1,0,1,1,11.3
BL,BS,L,W,1,0,1,1,11.3
BL,BV,L,W,1,0,1,1,11.3
A,A,L,W,4,1,0,0,9.47
A,BS,L,W,4,1,0,1,9.47
A,BV,L,W,4,1,0,1,9.47
C,A,L,W,3,1,0,1,9.47
C,BS,L,W,3,1,0,0,9.47
C,BV,L,W,3,1,0,1,9.47
BW,A,P,W,1,1,0,1,9.47
BW,BS,P,W,1,1,0,1,9.47
BW,BV,P,W,1,1,0,1,9.47
BW,A,A,W,2.5,0,0,0,9.47
BW,BS,A,W,2.5,0,0,0,9.47
BW,BV,A,W,2.5,0,0,1,9.47
A,A,L,T,3,0,0,0,9.47
A,BS,L,T,3,0,0,1,9.47
A,BV,L,T,3,0,0,1,9.47
BW,A,P,T,1,0,0,0,9.47
BW,BS,P,T,1,0,0,0,9.47
BW,BV,P,T,1,0,0,0,9.47
C,A,L,T,3.5,0,0,0,9.47
C,BS,L,T,3.5,0,0,0,9.47
C,BV,L,T,3.5,0,0,1,9.47
A,A,L,T,3,0,0,1,9.27
A,BS,L,T,3,0,0,1,9.27
A,BV,L,T,3,0,0,0,9.27
C,A,L,T,3,0,0,0,9.27
C,BS,L,T,3,0,0,0,9.27
C,BV,L,T,3,0,0,0,9.27
BW,A,A,T,2.5,0,0,0,9.27
BW,BS,A,T,2.5,0,0,0,9.27
BW,BV,A,T,2.5,0,0,0,9.27
BL,A,P,W,1,0,1,1,9.27
BL,BS,P,W,1,0,1,1,9.27
BL,BV,P,W,1,0,1,0,9.27
C,A,L,W,4,1,0,1,9.39
C,BS,L,W,4,1,0,1,9.39
C,BV,L,W,4,1,0,1,9.39
C,A,L,T,2,1,0,1,9.39
C,BS,L,T,2,1,0,0,9.39
C,BV,L,T,2,1,0,1,9.39
A,A,L,R,5.5,1,0,1,9.39
A,BS,L,R,5.5,1,0,1,9.39
A,BV,L,R,5.5,1,0,0,9.39
C,A,L,W,2.5,0,1,0,9.39
C,BS,L,W,2.5,0,1,1,9.39
C,BV,L,W,2.5,0,1,1,9.39
A,A,L,W,4,0,0,0,9.39
A,BS,L,W,4,0,0,1,9.39
A,BV,L,W,4,0,0,1,9.39
BW,A,P,T,1,0,0,1,9.39
BW,BS,P,T,1,0,0,1,9.39
BW,BV,P,T,1,0,0,1,9.39
A,A,L,T,4,0,0,1,9.39
A,BS,L,T,4,0,0,1,9.39
A,BV,L,T,4,0,0,0,9.39
C,A,L,T,3,0,0,0,9.39
C,BS,L,T,3,0,0,1,9.39
C,BV,L,T,3,0,0,1,9.39
BW,A,A,W,2.5,0,0,0,9.3
BW,BS,A,W,2.5,0,0,1,9.3
BW,BV,A,W,2.5,0,0,1,9.3
A,A,L,W,4,0,0,0,9.3
A,BS,L,W,4,0,0,1,9.3
A,BV,L,W,4,0,0,0,9.3
C,A,L,W,2.5,0,0,0,9.3
C,BS,L,W,2.5,0,0,1,9.3
C,BV,L,W,2.5,0,0,1,9.3
BW,A,A,T,2.5,0,1,0,9.3
BW,BS,A,T,2.5,0,1,0,9.3
BW,BV,A,T,2.5,0,1,0,9.3
A,A,L,T,3,0,0,0,9.3
A,BS,L,T,3,0,0,0,9.3
A,BV,L,T,3,0,0,0,9.3
C,A,L,T,3.5,0,0,0,9.3
C,BS,L,T,3.5,0,0,0,9.3
C,BV,L,T,3.5,0,0,0,9.3
A,A,L,T,3,0,0,1,9.3
A,BS,L,T,3,0,0,1,9.3
A,BV,L,T,3,0,0,0,9.3
C,A,L,T,3.5,0,0,1,9.3
C,BS,L,T,3.5,0,0,0,9.3
C,BV,L,T,3.5,0,0,0,9.3
A,A,L,T,3,0,1,1,9.3
A,BS,L,T,3,0,1,0,9.3
A,BV,L,T,3,0,1,0,9.3
C,A,L,T,3.5,0,0,0,9.3
C,BS,L,T,3.5,0,0,0,9.3
C,BV,L,T,3.5,0,0,1,9.3
A,A,L,R,4,0,0,1,11.06
A,BS,L,R,4,0,0,1,11.06
A,BV,L,R,4,0,0,0,11.06
BW,A,P,R,1,1,0,1,11.06
BW,BS,P,R,1,1,0,1,11.06
BW,BV,P,R,1,1,0,1,11.06
A,A,L,R,5.5,1,0,1,11.06
A,BS,L,R,5.5,1,0,0,11.06
A,BV,L,R,5.5,1,0,0,11.06
BW,A,A,W,2.5,0,0,0,11.06
BW,BS,A,W,2.5,0,0,1,11.06
BW,BV,A,W,2.5,0,0,0,11.06
A,A,L,W,3,0,1,0,11.06
A,BS,L,W,3,0,1,1,11.06
A,BV,L,W,3,0,1,1,11.06
C,A,L,W,3.5,0,1,1,11.06
C,BS,L,W,3.5,0,1,0,11.06
C,BV,L,W,3.5,0,1,1,11.06
A,A,L,T,3,0,0,1,11.06
A,BS,L,T,3,0,0,1,11.06
A,BV,L,T,3,0,0,1,11.06
BW,A,A,W,2.5,0,0,0,11.06
BW,BS,A,W,2.5,0,0,0,11.06
BW,BV,A,W,2.5,0,0,0,11.06
C,A,L,W,1,0,1,1,11.06
C,BS,L,W,1,0,1,0,11.06
C,BV,L,W,1,0,1,1,11.06
A,A,L,W,5.5,0,1,0,11.06
A,BS,L,W,5.5,0,1,0,11.06
A,BV,L,W,5.5,0,1,0,11.06
A,A,L,T,5.5,1,0,1,12.82
A,BS,L,T,5.5,1,0,1,12.82
A,BV,L,T,5.5,1,0,1,12.82
C,A,L,T,1,1,0,1,12.82
C,BS,L,T,1,1,0,1,12.82
C,BV,L,T,1,1,0,1,12.82
BW,A,L,T,2.5,0,0,0,6.72
BW,BS,L,T,2.5,0,0,0,6.72
BW,BV,L,T,2.5,0,0,0,6.72
A,A,A,W,2.5,0,1,1,6.72
A,BS,A,W,2.5,0,1,0,6.72
A,BV,A,W,2.5,0,1,1,6.72
C,A,L,W,5.5,1,0,1,6.72
C,BS,L,W,5.5,1,0,1,6.72
C,BV,L,W,5.5,1,0,1,6.72
BW,A,A,W,2.5,0,1,0,6.72
BW,BS,A,W,2.5,0,1,0,6.72
BW,BV,A,W,2.5,0,1,0,6.72
A,A,L,W,3.5,0,1,1,6.72
A,BS,L,W,3.5,0,1,1,6.72
A,BV,L,W,3.5,0,1,1,6.72
C,A,L,W,3.5,0,1,1,6.72
C,BS,L,W,3.5,0,1,0,6.72
C,BV,L,W,3.5,0,1,1,6.72
C,A,L,W,7,0,0,0,9.49
C,BS,L,W,7,0,0,0,9.49
C,BV,L,W,7,0,0,0,9.49
BL,A,L,W,1,0,0,1,9.49
BL,BS,L,W,1,0,0,1,9.49
BL,BV,L,W,1,0,0,1,9.49
BW,A,P,W,1,1,0,1,9.49
BW,BS,P,W,1,1,0,0,9.49
BW,BV,P,W,1,1,0,0,9.49
C,A,L,W,7,0,0,0,9.49
C,BS,L,W,7,0,0,0,9.49
C,BV,L,W,7,0,0,0,9.49
A,A,L,W,3,0,1,1,9.49
A,BS,L,W,3,0,1,0,9.49
A,BV,L,W,3,0,1,1,9.49
C,A,L,W,3.5,0,1,0,9.49
C,BS,L,W,3.5,0,1,0,9.49
C,BV,L,W,3.5,0,1,1,9.49
BW,A,A,T,2.5,0,1,0,9.49
BW,BS,A,T,2.5,0,1,0,9.49
BW,BV,A,T,2.5,0,1,0,9.49
C,A,L,T,3.5,0,1,0,9.49
C,BS,L,T,3.5,0,1,0,9.49
C,BV,L,T,3.5,0,1,1,9.49
BL,A,L,W,1,0,1,1,8.21
BL,BS,L,W,1,0,1,1,8.21
BL,BV,L,W,1,0,1,1,8.21
BL,A,A,T,NA,0,0,1,8.21
BL,BS,A,T,NA,0,0,1,8.21
BL,BV,A,T,NA,0,0,1,8.21
A,A,L,W,7,0,1,0,8.21
A,BS,L,W,7,0,1,1,8.21
A,BV,L,W,7,0,1,0,8.21
BW,A,A,T,2.5,0,0,1,5.97
BW,BS,A,T,2.5,0,0,0,5.97
BW,BV,A,T,2.5,0,0,0,5.97
A,A,L,T,3,0,1,1,5.97
A,BS,L,T,3,0,1,1,5.97
A,BV,L,T,3,0,1,1,5.97
C,A,L,T,3.5,0,1,1,5.97
C,BS,L,T,3.5,0,1,0,5.97
C,BV,L,T,3.5,0,1,1,5.97
C,A,L,W,8,0,0,0,5.97
C,BS,L,W,8,0,0,0,5.97
C,BV,L,W,8,0,0,0,5.97
A,A,P,W,1,0,0,1,5.97
A,BS,P,W,1,0,0,1,5.97
A,BV,P,W,1,0,0,1,5.97
A,A,L,W,4,0,0,1,5.97
A,BS,L,W,4,0,0,1,5.97
A,BV,L,W,4,0,0,1,5.97
C,A,L,W,2.5,0,0,0,5.97
C,BS,L,W,2.5,0,0,1,5.97
C,BV,L,W,2.5,0,0,1,5.97
BW,A,P,W,1,0,0,1,5.97
BW,BS,P,W,1,0,0,1,5.97
BW,BV,P,W,1,0,0,1,5.97
BL,A,L,T,9,0,0,0,15.15
BL,BS,L,T,9,0,0,0,15.15
BL,BV,L,T,9,0,0,0,15.15
A,A,L,T,3,1,0,0,2.01
A,BS,L,T,3,1,0,0,2.01
A,BV,L,T,3,1,0,1,2.01
A,A,L,R,11,0,0,0,15.15
A,BS,L,R,11,0,0,0,15.15
A,BV,L,R,11,0,0,0,15.15
C,A,L,T,3.5,1,0,0,2.01
C,BS,L,T,3.5,1,0,0,2.01
C,BV,L,T,3.5,1,0,1,2.01
BW,A,L,R,2,0,0,1,15.15
BW,BS,L,R,2,0,0,1,15.15
BW,BV,L,R,2,0,0,1,15.15
BW,A,P,T,1,1,0,1,2.01
BW,BS,P,T,1,1,0,0,2.01
BW,BV,P,T,1,1,0,0,2.01
A,A,L,R,4,0,0,1,15.15
A,BS,L,R,4,0,0,0,15.15
A,BV,L,R,4,0,0,0,15.15
BL,A,L,W,1,1,0,1,5.85
BL,BS,L,W,1,1,0,1,5.85
BL,BV,L,W,1,1,0,1,5.85
C,A,L,R,3,0,0,1,15.15
C,BS,L,R,3,0,0,0,15.15
C,BV,L,R,3,0,0,0,15.15
A,A,L,W,3,1,0,1,5.85
A,BS,L,W,3,1,0,1,5.85
A,BV,L,W,3,1,0,1,5.85
BL,A,L,R,9,0,1,0,15.15
BL,BS,L,R,9,0,1,0,15.15
BL,BV,L,R,9,0,1,0,15.15
C,A,L,W,3.5,1,0,0,5.85
C,BV,L,W,3.5,1,0,1,5.85
BW,A,P,W,1,1,0,0,5.85
BW,BS,P,W,1,1,0,0,5.85
BW,BV,P,W,1,1,0,0,5.85
BL,A,L,R,1,1,0,1,6.9
BL,BS,L,R,1,1,0,1,6.9
BL,BV,L,R,1,1,0,1,6.9
A,A,L,W,3,0,0,1,6.9
A,BS,L,W,3,0,0,0,6.9
A,BV,L,W,3,0,0,1,6.9
C,A,L,W,3.5,0,0,1,6.9
C,BV,L,W,3.5,0,0,0,6.9
BL,A,L,W,1,1,0,1,9.84
BL,BS,L,W,1,1,0,1,9.84
BL,BV,L,W,1,1,0,1,9.84
A,A,L,W,2,1,0,1,9.84
A,BS,L,W,2,1,0,0,9.84
A,BV,L,W,2,1,0,1,9.84
BL,A,L,W,1,1,0,1,10.84
BL,BS,L,W,1,1,0,1,10.84
BL,BV,L,W,1,1,0,1,10.84
BL,A,L,W,1,1,0,1,10.84
BL,BS,L,W,1,1,0,1,10.84
BL,BV,L,W,1,1,0,1,10.84
C,A,L,R,7,0,0,0,10.84
C,BV,L,R,7,0,0,0,10.84
BW,A,A,W,2.5,0,1,0,10.84
BW,BS,A,W,2.5,0,1,0,10.84
BW,BV,A,W,2.5,0,1,0,10.84
A,A,L,W,1,0,1,1,10.84
A,BS,L,W,1,0,1,1,10.84
A,BV,L,W,1,0,1,1,10.84
C,A,L,W,6,0,1,0,10.84
C,BV,L,W,6,0,1,0,10.84
A,A,L,W,3.5,0,1,1,10.84
A,BS,L,W,3.5,0,1,1,10.84
A,BV,L,W,3.5,0,1,1,10.84
C,A,L,W,3.5,0,1,0,10.84
C,BV,L,W,3.5,0,1,1,10.84
A,A,L,R,3.5,0,0,0,10.84
A,BS,L,R,3.5,0,0,1,10.84
A,BV,L,R,3.5,0,0,1,10.84
C,A,L,R,3.5,0,0,1,10.84
C,BV,L,R,3.5,0,0,1,10.84
A,A,L,W,3.5,0,1,0,10.84
A,BS,L,W,3.5,0,1,1,10.84
A,BV,L,W,3.5,0,1,1,10.84
C,A,L,W,3.5,0,1,0,10.84
C,BV,L,W,3.5,0,1,1,10.84
A,A,L,T,3.5,1,0,1,12.03
A,BS,L,T,3.5,1,0,1,12.03
A,BV,L,T,3.5,1,0,1,12.03
BW,A,P,T,1,1,0,1,12.03
BW,BS,P,T,1,1,0,0,12.03
BW,BV,P,T,1,1,0,0,12.03
C,A,L,T,3.5,1,0,1,12.03
C,BV,L,T,3.5,1,0,1,12.03
BL,A,L,W,1,1,1,1,12.03
BL,BS,L,W,1,1,1,1,12.03
BL,BV,L,W,1,1,1,1,12.03
BW,A,A,T,2.5,0,0,0,12.03
BW,BS,A,T,2.5,0,0,0,12.03
BW,BV,A,T,2.5,0,0,0,12.03
BW,A,A,R,2.5,0,0,0,12.27
BW,BS,A,R,2.5,0,0,0,12.27
BW,BV,A,R,2.5,0,0,0,12.27
A,A,L,R,3.5,0,0,1,12.27
A,BS,L,R,3.5,0,0,0,12.27
A,BV,L,R,3.5,0,0,0,12.27
C,A,L,R,3.5,0,0,0,12.27
C,BV,L,R,3.5,0,0,0,12.27
A,A,L,R,7,0,0,1,12.27
A,BS,L,R,7,0,0,0,12.27
A,BV,L,R,7,0,0,0,12.27
BL,A,L,R,5,0,0,0,12.27
BL,BS,L,R,5,0,0,0,12.27
BL,BV,L,R,5,0,0,0,12.27
BW,A,A,W,2.5,0,0,0,12.27
BW,BS,A,W,2.5,0,0,1,12.27
BW,BV,A,W,2.5,0,0,0,12.27
A,A,L,W,3.5,0,0,0,12.27
A,BS,L,W,3.5,0,0,1,12.27
A,BV,L,W,3.5,0,0,0,12.27
C,A,L,W,3.5,0,0,0,12.27
C,BV,L,W,3.5,0,0,0,12.27
A,A,L,W,1,0,0,1,12.27
A,BS,L,W,1,0,0,0,12.27
A,BV,L,W,1,0,0,1,12.27
C,A,L,T,8,0,0,0,5.88
C,BS,L,T,8,0,0,0,5.88
C,BV,L,T,8,0,0,0,5.88
BL,A,L,W,1,0,1,1,5.88
BL,BS,L,W,1,0,1,1,5.88
BL,BV,L,W,1,0,1,1,5.88
BL,A,L,W,1,1,1,1,5.88
BL,BS,L,W,1,1,1,1,5.88
BL,BV,L,W,1,1,1,1,5.88
BL,A,L,W,1,1,0,1,5.88
BL,BS,L,W,1,1,0,1,5.88
BL,BV,L,W,1,1,0,1,5.88
BW,A,P,W,1,1,0,0,5.88
BW,BS,P,W,1,1,0,0,5.88
BW,BV,P,W,1,1,0,0,5.88
BW,A,P,T,1,1,0,1,5.88
BW,BS,P,T,1,1,0,0,5.88
BW,BV,P,T,1,1,0,0,5.88
BL,A,L,R,1,1,0,1,6.63
BL,BS,L,R,1,1,0,1,6.63
BL,BV,L,R,1,1,0,1,6.63
A,A,L,W,1,0,0,0,6.63
A,BS,L,W,1,0,0,0,6.63
A,BV,L,W,1,0,0,0,6.63
BL,A,L,W,1,0,0,1,8.16
BL,BS,L,W,1,0,0,1,8.16
BL,BV,L,W,1,0,0,1,8.16
